date,close,high,low,open,volume,gdp,cpi,unemployment,indpro,retail
2020-10-31,3418.6999955610795,3445.0236483487215,3397.303633256392,3423.191339666193,4088135454.5454545,22087.16,260.319,6.9,96.5256,539114.0
2020-11-30,3548.99248046875,3569.34150390625,3526.2205078125,3543.4300048828127,5062359000.0,22087.16,260.911,6.7,96.9529,533941.0
2020-12-31,3695.3100142045455,3707.6208939985795,3677.3209228515625,3692.005448774858,4380712727.272727,22087.16,262.045,6.7,98.2039,538548.0
2021-01-31,3793.7484323601975,3818.135806435033,3768.9621325041117,3797.3873612253287,5585147368.421053,22680.693,262.639,6.4,98.8135,559230.0
2021-02-28,3883.4321160567433,3901.0957930715463,3856.7331671463817,3878.7931614925988,5214858947.368421,22680.693,263.573,6.2,95.5072,544891.0
2021-03-31,3910.5082795516305,3935.7130604619565,3883.106976052989,3906.6847932235055,5320484782.608696,22680.693,264.847,6.1,98.1929,603581.0
2021-04-30,4141.176199776785,4152.001395089285,4122.00189499628,4133.93951125372,3958290000.0,23425.91,266.625,6.1,98.3317,608961.0
2021-05-31,4167.849536132812,4187.078515625,4146.477978515625,4167.329992675781,4416093000.0,23425.91,268.404,5.8,99.1867,605282.0
2021-06-30,4238.48954634233,4249.386408025568,4223.202747691761,4236.976806640625,4661099090.909091,23425.91,270.71,5.9,99.6483,611950.0
2021-07-31,4363.712797619048,4375.644810267857,4341.0742420014885,4358.000930059524,4012172380.952381,23982.379,271.965,5.4,100.0668,601817.0
2021-08-31,4453.965931285511,4464.497247869318,4436.474054509943,4448.834095348011,3659125454.5454545,23982.379,272.752,5.1,100.0412,605533.0
2021-09-30,4445.543317522322,4473.472888764881,4429.42431640625,4457.234793526785,4072802857.142857,23982.379,273.942,4.7,98.9955,609671.0
2021-10-31,4460.707077752976,4476.626627604167,4433.933337983631,4449.715704055059,3821600000.0,24813.6,276.528,4.5,100.3542,618573.0
2021-11-30,4667.386648995535,4688.184756324405,4649.419038318452,4670.937593005952,4203278095.2380953,24813.6,278.824,4.2,101.2684,624874.0
2021-12-31,4674.772771661932,4701.581853693182,4642.169611150568,4669.68184037642,4215917272.7272725,24813.6,280.806,3.9,101.1948,619938.0
2022-01-31,4573.815454101563,4619.576025390625,4528.042016601563,4585.263037109375,4778144500.0,25250.347,282.542,4.0,101.2146,631509.0
2022-02-28,4435.980494449013,4473.607344777961,4392.072625411184,4436.878957648027,4877247894.736842,25250.347,284.525,3.8,101.8458,638101.0
2022-03-31,4391.265264096467,4424.881644870924,4351.570015285326,4388.294348675272,5371576521.73913,25250.347,287.467,3.7,102.6732,651027.0
2022-04-30,4391.29599609375,4439.26455078125,4361.126440429687,4409.3604736328125,4518392000.0,25861.292,288.582,3.7,102.9024,660194.0
2022-05-31,4040.3600027901784,4082.1881045386904,3986.2142740885415,4037.779982793899,5183828095.238095,25861.292,291.299,3.6,102.9659,659847.0
2022-06-30,3898.9466843377977,3942.405203683036,3864.0700102306546,3908.924269903274,5053176666.666667,25861.292,295.072,3.6,102.8224,666113.0
2022-07-31,3911.7294921875,3931.057971191406,3866.241015625,3893.2409912109374,4084416000.0,26336.304,294.94,3.5,103.0505,659550.0
2022-08-31,4158.563083814538,4189.813083814538,4136.988238790761,4164.375636888587,4010971739.130435,26336.304,295.162,3.6,103.1703,663566.0
2022-09-30,3850.5204961867557,3890.228538876488,3817.548560732887,3860.8142438616073,4487667619.047619,26336.304,296.421,3.5,103.5326,661854.0
2022-10-31,3726.050955636161,3761.6314057849704,3683.409981863839,3712.3604910714284,4563036190.476191,26770.514,297.979,3.6,103.4442,668671.0
2022-11-30,3917.488595145089,3945.9271530877977,3883.6880812872023,3914.579031808036,4412948095.238095,26770.514,298.708,3.6,103.1058,659458.0
2022-12-31,3912.3809523809523,3943.4966634114585,3884.271902901786,3922.105712890625,4059491904.7619047,26770.514,298.808,3.5,101.8266,651763.0
2023-01-31,3960.656530761719,3982.2374877929688,3925.3295166015623,3948.579541015625,4038190500.0,27216.445,300.456,3.5,102.7476,680253.0
2023-02-28,4079.6847245065787,4104.842644942434,4051.701531661184,4079.3437243009867,4231172631.5789475,27216.445,301.476,3.6,102.8003,672152.0
2023-03-31,3968.5591457201085,3996.4956691576085,3937.4121730638585,3965.184761379076,4917165217.391304,27216.445,301.643,3.5,102.8143,665071.0
2023-04-30,4121.467362253289,4136.134200246711,4098.431075246711,4116.7273591694075,3729540000.0,27530.055,302.858,3.4,103.2241,670494.0
2023-05-31,4146.1731955788355,4164.6363969282675,4125.5168568004265,4148.4232177734375,3872274545.4545455,27530.055,303.316,3.6,102.9809,673902.0
2023-06-30,4345.372837611607,4359.732863653274,4321.860002790178,4333.507556733631,4189673333.3333335,27530.055,304.099,3.6,102.3809,677117.0
2023-07-31,4508.07548828125,4523.726049804687,4492.9599609375,4505.4339599609375,3753160000.0,28074.846,304.615,3.5,103.0722,678424.0
2023-08-31,4457.358674422554,4482.017387058424,4437.410835597826,4461.379521908967,3775687826.0869565,28074.846,306.138,3.7,103.0951,684755.0
2023-09-30,4409.094995117188,4432.440966796875,4393.75146484375,4419.146484375,3674149000.0,28074.846,307.374,3.8,103.3081,689403.0
2023-10-31,4269.400945490057,4296.745472301136,4242.411376953125,4271.700039950284,3796339090.909091,28424.722,307.653,3.9,102.5781,686148.0
2023-11-30,4460.063313802083,4471.331938244048,4438.130417596726,4449.438081287202,3855741428.571429,28424.722,308.087,3.7,102.8868,685328.0
2023-12-31,4685.051489257812,4697.617504882813,4662.759545898438,4675.967529296875,4076533500.0,28424.722,308.735,3.8,102.6309,686277.0
2024-01-31,4804.491513206845,4819.932849702381,4782.348539806548,4800.351446242559,3892280000.0,28708.161,309.794,3.7,101.483,680456.0
2024-02-29,5011.96142578125,5023.2140625,4986.563012695313,5003.731982421875,4103346500.0,28708.161,311.022,3.9,102.7267,685280.0
2024-03-31,5170.572485351562,5187.621020507812,5149.981494140625,5167.86298828125,4314975500.0,28708.161,312.107,3.9,102.5186,687641.0
2024-04-30,5112.492742365057,5145.566827947443,5088.249578302557,5124.729070490057,3715780454.5454545,29147.044,313.016,3.9,102.3568,687602.0
2024-05-31,5235.225497159091,5251.4541015625,5211.554576526989,5231.250421697443,3947714545.4545455,29147.044,313.14,4.0,102.9797,692774.0
2024-06-30,5415.140496504934,5430.508454975329,5389.1804841694075,5409.365799753289,4001348421.0526314,29147.044,313.131,4.1,103.2534,692449.0
2024-07-31,5538.004572088068,5568.595880681818,5516.108620383523,5542.529962713068,3643654090.909091,29511.664,313.566,4.2,102.5192,698835.0
2024-08-31,5478.214577414773,5512.019575639205,5440.693181818182,5473.899968927557,3686240909.090909,29511.664,314.131,4.2,103.0196,697157.0
2024-09-30,5621.26044921875,5648.423510742187,5588.659521484375,5624.488989257812,3978241500.0,29511.664,314.851,4.1,102.5954,703079.0
2024-10-31,5792.319548233696,5815.695142663043,5768.833432404891,5797.090438179348,3583149130.4347825,29825.182,315.564,4.1,102.2138,707613.0
2024-11-30,5929.915991210937,5948.6729736328125,5899.855493164063,5920.711962890625,4205099000.0,29825.182,316.449,4.2,101.9503,712145.0
2024-12-31,6010.908551897322,6041.46142578125,5987.199521019345,6018.1532970610115,4098328571.428571,29825.182,317.603,4.1,103.0447,717662.0
