date,retail
2019-03-31,499292.0
2019-04-30,499343.0
2019-05-31,504741.0
2019-06-30,505251.0
2019-07-31,509091.0
2019-08-31,512561.0
2019-09-30,509282.0
2019-10-31,510648.0
2019-11-30,514215.0
2019-12-31,515866.0
2020-01-31,515119.0
2020-02-29,515330.0
2020-03-31,468324.0
2020-04-30,401028.0
2020-05-31,478449.0
2020-06-30,518038.0
2020-07-31,526304.0
2020-08-31,530735.0
2020-09-30,541302.0
2020-10-31,539114.0
2020-11-30,533941.0
2020-12-31,538548.0
2021-01-31,559230.0
2021-02-28,544891.0
2021-03-31,603581.0
2021-04-30,608961.0
2021-05-31,605282.0
2021-06-30,611950.0
2021-07-31,601817.0
2021-08-31,605533.0
2021-09-30,609671.0
2021-10-31,618573.0
2021-11-30,624874.0
2021-12-31,619938.0
2022-01-31,631509.0
2022-02-28,638101.0
2022-03-31,651027.0
2022-04-30,660194.0
2022-05-31,659847.0
2022-06-30,666113.0
2022-07-31,659550.0
2022-08-31,663566.0
2022-09-30,661854.0
2022-10-31,668671.0
2022-11-30,659458.0
2022-12-31,651763.0
2023-01-31,680253.0
2023-02-28,672152.0
2023-03-31,665071.0
2023-04-30,670494.0
2023-05-31,673902.0
2023-06-30,677117.0
2023-07-31,678424.0
2023-08-31,684755.0
2023-09-30,689403.0
2023-10-31,686148.0
2023-11-30,685328.0
2023-12-31,686277.0
2024-01-31,680456.0
2024-02-29,685280.0
2024-03-31,687641.0
2024-04-30,687602.0
2024-05-31,692774.0
2024-06-30,692449.0
2024-07-31,698835.0
2024-08-31,697157.0
2024-09-30,703079.0
2024-10-31,707613.0
2024-11-30,712145.0
2024-12-31,717662.0
2025-01-31,711461.0
2025-02-28,711757.0
2025-03-31,722572.0
2025-04-30,721789.0
2025-05-31,716101.0
2025-06-30,723033.0
2025-07-31,727414.0
2025-08-31,732010.0
